من	من
الله	ٱلله
في	فى
ما	ما
إن	إن
لا	لا
الذين	ٱلذين
على	على
إلا	إلا
ولا	ولا
وما	وما
أن	أن
إلى	إلى
قال	قال
لهم	لهم
ومن	ومن
ثم	ثم
لكم	لكم
به	به
كان	كان
قل	قل
بما	بما
الأرض	ٱلأرض
أو	أو
ذلك	ذلك
له	له
الذي	ٱلذى
هو	هو
آمنوا	ءامنوا
هم	هم
وإن	وإن
قالوا	قالوا
كل	كل
فيها	فيها
والله	وٱلله
كانوا	كانوا
عن	عن
إذا	إذا
ربك	ربك
يوم	يوم
عليهم	عليهم
شيء	شىء
هذا	هذا
كفروا	كفروا
كنتم	كنتم
السموت	ٱلسموت
الناس	ٱلناس
لم	لم
وهو	وهو
فإن	فإن
إذ	إذ
عليكم	عليكم
والذين	وٱلذين
الكتب	ٱلكتب
الرحمن	الرحمن
والأرض	وٱلأرض
إنا	إنا
فلا	فلا
منهم	منهم
عذاب	عذاب
إنه	إنه
بعد	بعد
الرحيم	الرحيم
عليه	عليه
حتى	حتى
يأيها	يأيها
بالله	بٱلله
وهم	وهم
وإذا	وإذا
أولئك	أولئك
إنى	إنى
أم	أم
ولقد	ولقد
رب	رب
بل	بل
فيه	فيه
قد	قد
عند	عند
قبل	قبل
خير	خير
لله	لله
يشاء	يشاء
الدنيا	ٱلدنيا
بسم	بسم
إنما	إنما
ولكن	ولكن
ربهم	ربهم
مما	مما
ولو	ولو
الحق	ٱلحق
السماء	ٱلسماء
منكم	منكم
ربنا	ربنا
عليم	عليم
موسى	موسى
النار	ٱلنار
ربكم	ربكم
فلما	فلما
ألا	ألا
أنزل	أنزل
ربى	ربى
لمن	لمن
خلق	خلق
دون	دون
فمن	فمن
منه	منه
سبيل	سبيل
فإذا	فإذا
فما	فما
كذلك	كذلك
منها	منها
يؤمنون	يؤمنون
العذاب	ٱلعذاب
وقال	وقال
مبين	مبين
وكان	وكان
تعملون	تعملون
لنا	لنا
يعلمون	يعلمون
بين	بين
للذين	للذين
بها	بها
قوم	قوم
لو	لو
ألم	ألم
المؤمنين	ٱلمؤمنين
إليك	إليك
شيا	شيا
علم	علم
أنتم	أنتم
إليه	إليه
عنهم	عنهم
بالحق	بٱلحق
لما	لما
إله	إله
ربه	ربه
أنفسهم	أنفسهم
جهنم	جهنم
وإذ	وإذ
الآخرة	ٱلءاخرة
القيمة	ٱلقيمة
لك	لك
يعلم	يعلم
غير	غير
وأن	وأن
كتب	كتب
هل	هل
أنا	أنا
ورسوله	ورسوله
التي	ٱلتى
فرعون	فرعون
قلوبهم	قلوبهم
نحن	نحن
يومئذ	يومئذ
الظلمين	ٱلظلمين
العزيز	ٱلعزيز
إنهم	إنهم
الحيوة	ٱلحيوة
الشيطن	ٱلشيطن
كنا	كنا
لي	لى
أصحب	أصحب
القوم	ٱلقوم
جنت	جنت
كيف	كيف
الصلحت	ٱلصلحت
العلمين	ٱلعلمين
بعض	بعض
رحيم	رحيم
وقالوا	وقالوا
اليل	ٱليل
كما	كما
لعلكم	لعلكم
لن	لن
الإنسن	ٱلإنسن
الصلوة	ٱلصلوة
بينهم	بينهم
مع	مع
بايتنا	بايتنا
