&	und
08/15	null-acht-fünfzehn
0815	null-acht-fünfzehn
1-jährige	1-jährig
1-jährigen	1-jährig
1-jähriges	1-jährig
10-jährige	10-jährig
10-jährigen	10-jährig
10-jähriger	10-jährig
10-jähriges	10-jährig
10-stellige	10-stellig
10-stelliges	10-stellig
100-fachen	100-fach
100-jährige	100-jährig
100-jährigen	100-jährig
100-jähriges	100-jährig
100-prozentige	100-prozentig
100-prozentigen	100-prozentig
100-prozentiger	100-prozentig
1000-jährige	1000-jährig
1000-jährigen	1000-jährig
11-jährige	11-jährig
11-jährigen	11-jährig
11-jähriger	11-jährig
12-jährige	12-jährig
12-jährigen	12-jährig
12-jähriger	12-jährig
13-jährige	13-jährig
13-jährigen	13-jährig
13-jähriger	13-jährig
13-jähriges	13-jährig
14-jährige	14-jährig
14-jährigen	14-jährig
14-jähriger	14-jährig
14-jähriges	14-jährig
15	fünfzehn
15-jährige	15-jährig
15-jährigen	15-jährig
15-jähriger	15-jährig
15-jähriges	15-jährig
15er	fünfzehn
16-jährige	16-jährig
16-jährigen	16-jährig
16-jähriger	16-jährig
16-jähriges	16-jährig
18-jährige	18-jährig
18-jährigen	18-jährig
18-jähriger	18-jährig
18-jähriges	18-jährig
19-jährige	19-jährig
19-jährigen	19-jährig
19-jähriger	19-jährig
2-jährige	2-jährig
2-jährigen	2-jährig
2-jähriges	2-jährig
2-stelligen	2-stellig
2-stelliges	2-stellig
2-stündige	2-stündig
2-stündigen	2-stündig
20-jährige	20-jährig
20-jährigem	20-jährig
20-jährigen	20-jährig
20-jähriger	20-jährig
20-jähriges	20-jährig
20er-jahren	20er-jahre
2g-regeln	2g-regel
3-d-druckern	3-d-drucker
3-jährige	3-jährig
3-jährigen	3-jährig
3-jähriger	3-jährig
3-monatige	3-monatig
3-monatiger	3-monatig
3-monatiges	3-monatig
3-raum-wohnungen	3-raum-wohnung
30-jährige	30-jährig
30-jährigen	30-jährig
30-jähriger	30-jährig
30-jähriges	30-jährig
3d	3-d
3d-druckern	3d-drucker
3d-druckers	3d-drucker
3d-effekten	3d-effekt
3d-filmen	3d-film
3d-kameras	3d-kamera
3g-regeln	3g-regel
3g-regelungen	3g-regelung
4	vier
4-fachen	4-fach
4-jährige	4-jährig
4-jährigen	4-jährig
4-jähriger	4-jährig
4-stellige	4-stellig
40-jährige	40-jährig
40-jährigem	40-jährig
40-jährigen	40-jährig
40-jähriger	40-jährig
40-jähriges	40-jährig
40er-jahren	40er-jahre
49-euro-tickets	49-euro-ticket
4er	vier
5-jährige	5-jährig
5-jährigen	5-jährig
5-jähriger	5-jährig
5-minütigen	5-minütig
5-stellige	5-stellig
5-stelliges	5-stellig
50-jährige	50-jährig
50-jährigem	50-jährig
50-jährigen	50-jährig
50-jähriger	50-jährig
50-jähriges	50-jährig
50er-jahren	50er-jahre
50ern	50er
6-jährige	6-jährig
6-jährigen	6-jährig
6-jähriger	6-jährig
6-jähriges	6-jährig
6-stelligen	6-stellig
60-jährige	60-jährig
60-jährigen	60-jährig
60-jähriger	60-jährig
60-jähriges	60-jährig
60er-jahren	60er-jahre
68ern	68er
7-jährige	7-jährig
7-jährigen	7-jährig
7-jähriger	7-jährig
7-jähriges	7-jährig
7-stelligen	7-stellig
7-tage-inzidenzen	7-tage-inzidenz
70-jährige	70-jährig
70-jährigen	70-jährig
70-jähriger	70-jährig
70-jähriges	70-jährig
