آباء	أبى
آباد	بادى
آبدا	آبد
آبلو	آبل
آبها	آبه
آبهة	آبه
آبهين	آبه
آبو	أبى
آبى	أبى
آتال	ائتال
آتت	آتى	أت
آتنا	آتن
آتني	آتن
آتوا	آتى
آتون	آت	أت
آتي	آت	آتى
آتيا	آت	آتى
آتية	آت
آتيتان	آت
آتيتين	آت
آتين	آت	آتى
آث	أث	أثا
آثار	أثار
آثام	إثم
آثرت	آثر
آثرتا	آثر
آثرن	آثر
آثرنا	آثر
آثروا	آثر
آثما	آثم
آثمة	آثم
آجال	أجل
آجالا	أجل
آجر	جرى
آجلا	آجل
آجلة	آجل
آخت	آخى
آخذ	أخذ	مؤاخذ
آخذا	أخذ
آخذة	أخذ
آخذت	أخذ
آخذون	أخذ
آخذين	أخذ
آخرا	آخر
آخران	آخر
آخري	آخر
آخرين	آخر
آخي	آخ	آخى
آخيت	آخى
آدا	آد
آداب	أدب
آدان	آد
آدما	آدم
آدمان	آدم
آدمون	آدم
آدميا	آدمي
آدمية	آدمي
آدمين	آدم
آدميين	آدمي
آدو	آد	أد
آدي	آد
آدين	آد
آذان	أذن
آذانا	أذن
آذت	آذى
آذتا	آذى
آذن	أذن
آذنا	أذن
آذنت	أذن
آرا	آر
آراء	رأي
آربان	آرب
آربي	آرب
آرت	آر
آرسي	آرس
آرسين	آرس
آرش	ورش
آرقت	آرق
آرمان	آرم
آرمة	آرم
آرمن	رمى
آرمي	آرم
آرمين	آرم
آرنو	آرن
آرنون	آرن
آرني	آرن
آرو	آر	أرى
آرون	آر	أرى
آري	آر
آريا	آر
آريان	آر
آرين	آر
آز	أز	أزا	أزى
آزال	زال
آزر	زار
آزرت	زار
آزروا	زار
آزري	زار
آزمات	آزم
آزمون	آزم
آزو	أزا
آس	أس	أسوة
آسا	أس
آسان	أس
آست	أس
آسرا	آسر
آسرة	آسر
آسف	أسف
آسفا	أسف
آسفة	أسف
آسفون	أسف
آسفي	أسف
آسفين	أسف
آسنا	آسن
آسنة	آسن
آسو	أس
آسى	أسوة
آسي	أس
آش	أش	أشى
آشر	وشر
آشي	أشى
آشين	أشى
آفا	آف
آفات	آف
آفاق	وفق
آفاقا	وفق
آفة	آف
آفتي	آف
آفتين	آف
آفق	وفق
آفلة	آفل
آفلو	آفل
آفون	آف
آقا	آق
آك	أك
آكرون	آكر
آكل	كلي
آكلا	كلي
آكلات	كلي
آكلة	كلي
آكلو	كلي
آكلوا	كلي
آكلي	كلي
آلا	آل
آلاء	إلى
آلات	آلة
آلات موسيقية	آلة موسيقية
آلاف	ألف
آلام	لم
آلاما	لم
آلب	لبى
آلة الزمن	آلة زمن
آلتو	آلت
آلتون	آلت
آلتي	آلت
آلتين	آلت
آلف	ألف
آلفا	ألف
آلفن	ألف
آلفي	ألف
آلفين	ألف
آلك	لك
آلم	لم
آلما	لم
آلمان	لم
آلمت	لم
آلمنا	لم
آلوا	آل	آلى
آليا	آلي	آلى
آليات	آلية	آلي
آليت	آلى
آليتان	آلية	آلي
آليتي	آلية
آليتين	آلية	آلي
آلين	آلى
آلينا	آلى
آليون	آلي
آليين	آلي
آم	أم	أمو
آما	أم
آماد	مدى
آمال	أمل
آمالا	أمل
آمان	أم
آمدن	مدى
آمر	أمر
آمرا	أمر
آمرة	أمر
آمرت	أمر
آمرو	أمر
آمري	أمر
آمرين	أمر
آملا	آمل
آملة	آمل
آملي	آمل
آملين	آمل
آمم	أم
آمن	أم	من
آمنا	أم
آمنان	أم
آمنة	أم
آمنت	أم
آمنتم	أم
آمنتين	أم
آمنو	أم
آمنوا	أم
آمنون	أم
آمنين	أم
آمو	أم
آمون	أم
آمي	أم
آميا	أم
آمين	أم
آنا	آن
آنت	أنت	آن	أنى
آنس	أنس
آنسا	أنس
آنسات	أنس
آنسة	أنس
آنستم	أنس
آنسي	أنس
آنفا	آنف
آنفة	آنف
آنفتي	آنف
آنفو	آنف
آنفي	آنف
آنقا	آنق
آنن	أن
آنى	أنى
آنيا	آني	أنى
آنية	آني
آنيت	أنى
آهات	آه
آهان	آه
آهلة	آهل
آهلتين	آهل
آهو	آه
آوت	آوى
آونة	أوان
آوي	آوى	آو	أوى
آيات	آية
آيتا	آية
آيتان	آية
آيتي	آية
آيتين	آية
آيدا	آيد
آيدان	آيد
آيدة	آيد
آيدين	آيد
آيس	أس
آيسا	أس
آيست	أس
آيف	آف
آيكا	آيك
آيكان	آيك
آيكون	آيك
آيكي	آيك
آيلا	آيل
آيلات	آيل
آيلة	آيل
آيلتين	آيل
آيلين	آيل
آيم	أيم
آيهان	آيه
أأ	وأى
أؤثر	أثار
أؤد	أد	آد
أؤسس	أسس
أؤكد	أكد
أؤلف	ألف
أؤمم	أمم
أؤمن	أم	من
أؤيد	يدي
أئمن	وأم
أئن	أن
أب	أبى
أبا	أبى
أباء	بأى
أباحت	أباح
أباحوا	أباح
أبادت	أباد
أبادر	بادر
أبادوا	أباد
أبادي	بادى
أبارا	أبار
أبارك	برك
أباريق	إبريق
أباشر	باشر
أباع	باع
أباك	باك
أبال	بل
أبالغ	أبلغ	بالغ
أبالي	بالى
أبانا	أبان
أبانت	أبان
أبانوا	أبان
أباه	بهو
أبت	بات	أبى	أبات
أبتسم	ابتسم
أبتعد	ابتعد
أبتغي	ابتغى
أبتكر	ابتكر
أبتلع	ابتلع
أبث	بث	باث
أبجل	بجل
أبحاث	بحث
أبحر	بحر
أبحرت	بحر
أبحرتا	بحر
أبحرتم	بحر
أبحروا	بحر
أبخرة	بخار
أبخس	بخس
أبد	بادى
أبدآ	أبدأ
أبداع	بدع
أبدال	بدل
أبدان	بدن	بادى	بدنة
أبدانا	بدن	بدنة
أبدت	أبدى	أباد	بادى
أبدتا	أبدى	بادى
أبدد	بدد
أبدر	بدر
أبدعا	أبدع
أبدعت	أبدع
أبدعن	أبدع
أبدعنا	أبدع
أبدعوا	أبدع
أبدل	بدل
أبدلت	بدل
أبدلوا	بدل
أبده	بده
أبدوا	أبدى	بادى
أبديا	أبدى	أبدي
أبدية	أبدي
أبديت	أبدى
أبديتم	أبدى
أبديتين	أبدي
أبدين	أبدى	بادى
أبدينا	أبدى
أبذل	بذل
أبر	بر	برى
أبرأ	برأ
أبرئ	برأ
أبرا	بر
أبرار	بر
أبرارا	بر
أبرح	برح
أبردين	أبرد
أبرر	بر	برر
أبرزت	أبرز
أبرزتا	أبرز
أبرزن	أبرز
أبرزنا	أبرز
أبرزوا	أبرز
أبرع	برع
أبرعم	برعم
أبرق	برق
أبرقت	برق
أبركان	أبرك
أبرما	أبرم
أبرمت	أبرم
أبرمتا	أبرم
أبرمنا	أبرم
أبرموا	أبرم
أبرهن	برهن
أبرو	بر
أبز	بز	بزا
أبزر	بزر
أبشر	بشر
أبشرت	بشر
أبشروا	بشر
أبشري	بشر
أبصار	بصر
أبصرت	أبصر
أبصرتم	أبصر
أبصق	بصق
أبض	باض	بض
أبضا	باض
أبطآ	أبطأ
أبطأت	أبطأ
أبطئ	أبطأ	بطأ
أبطال	باطل
أبطالا	باطل
أبطل	باطل
أبطلت	باطل
أبع	باع	بعا	بعى
أبعاد	بعد
أبعادا	بعد
أبعت	باع
أبعد	بعد
أبعدت	بعد
أبعدنا	بعد
أبعدوا	بعد
أبعر	بعر
أبغض	بغض
أبغي	أبغى	بغى
أبق	أبقى	بقى	وبق
أبقت	أبقى	بقى
أبقتا	أبقى
أبقوا	أبقى
أبقي	أبقى	بقى
أبقيا	أبقى
أبقيت	أبقى
أبقينا	أبقى
أبك	باك	أبكى
أبكار	بكر
أبكارا	بكر
أبكت	باك
أبكر	بكر
أبكوا	أبكى
أبكي	أبكى
أبكيت	أبكى
أبل	بل	بلى	وبيل
أبلت	بل
أبلح	بلح
أبلع	بلع
أبلها	أبله
أبلو	بل
أبلوا	بل
أبلى	بل
أبلي	بلى	بل
أبليت	بل
أبليتما	بل
أبلينا	بل
أبن	بنى	أبان
أبنا	أبان	بنى
أبناء	ابن
أبنت	أبان	بنى
أبنوا	بنى
أبني	بنى
أبنية	بناء
أبه	بها	بهو
أبها	بها
أبهاء	بهو
أبهج	بهج
أبهجت	بهج
أبهرت	أبهر
أبهرنا	أبهر
أبهروا	أبهر
أبهري	أبهر
أبهى	بها
أبوء	بأى
أبوا	أبى
أبواب	باب
أبوابا	باب
أبوب	بوب
أبوة	أبى
أبوت	أبى
أبوح	باح
أبور	بر
أبوس	باس
أبوظ	باظ
أبوك	باك
أبول	بل
أبون	أبى
أبونا	أبى
أبوه	بهو
أبويا	أبوي
أبوية	أبوي
أبوين	أبى
أبي	أبى
أبيا	أبى
أبيات	بات
أبيت	بات	أبى	أبات
أبيتم	أبى
أبيتوا	أبات
أبيح	أباح
أبيد	أباد	بادى
أبيدت	أباد
أبيدوا	أباد
أبيدي	أباد
أبيضين	أبيض
أبيع	باع
أبين	بين	أبى	أبان	بنى
أبينا	أبى	أبان
أبيني	أبان
أتأثر	تأثر
أتأخر	تأخر
أتأذن	أذن
أتأرجح	تأرجح
أتأسف	أسف
أتأسى	أسوة
أتأكد	تأكد
أتألق	تألق
أتألم	لم
أتأمل	أمل
أتا	أت
أتابع	باع
أتاحا	أتاح
أتاحت	أتاح
أتاحتا	أتاح
أتاحوا	أتاح
أتاه	تاه
أتاوى	إتاوة
أتبادل	تبادل
أتبرع	تبرع
أتبضع	بضع
أتبع	باع
أتبعت	باع
أتبلغ	بلغ
أتبنى	تبنى
أتبول	بل
أتتبع	تتبع
أتثبت	تثبت
أتجادل	جادل
أتجاهل	تجاهل
أتجاوز	تجاوز
أتجرأ	تجرأ
أتجرع	تجرع
أتجشم	تجشم
أتجلى	تجلى
أتجنب	تجنب
أتجه	اتجه
أتجوز	جوز
أتجول	تجول
أتحاسب	تحاسب
أتحاشى	تحاشى
أتحالف	تحالف
أتحامل	تحامل
أتحايل	تحايل
أتحتم	أتاح	تحتم
أتحجج	حاج
أتحد	حد
أتحدث	حدث
أتحدى	حد
أتحرر	حرى
أتحرق	حرق
أتحرك	تحرك
أتحسر	تحسر
أتحسس	حس
أتحسن	حسن
أتحصل	حصل
أتحضر	حضر
أتحطم	تحطم
أتحفظ	حفظ
أتحقق	حق
أتحكم	حكم
أتحلل	حال
أتحلى	أحلى
أتحمس	حمس
أتحمل	تحمل
أتحنا	أتاح
أتحول	حال
أتحير	حرى
أتخبر	خبر
أتخبط	تخبط
أتخذ	اتخذ	أخذ
أتخرج	خرج
أتخصص	خصص
أتخط	تخطى
أتخطى	تخطى
أتخل	تخلى
أتخلص	خلص
أتخلف	خلف
أتخلى	تخلى
أتخمت	أتخم
أتخموا	أتخم
أتخوف	خفي
أتخيل	تخيل
أتداخل	داخل
أتداول	تداول
أتدبر	تدبر
أتدحرج	تدحرج
أتدخل	تدخل
أتدرب	درب
أتدرج	تدرج
أتدلى	تدلى
أتذكر	ذكر
أتذمر	تذمر
أتذوق	تذوق
أتر	أرى
أترأس	رأس
أتراب	رب
أترابا	رب
أتراجع	تراجع
أترافق	رافق
أتربة	تراب
أترجم	ترجم
أترحم	رحم
أتردد	ورد
أترشح	ترشح
أترصد	رصد
أترضى	رضا
أترفع	رفع
أترقب	ترقب
أترك	ترك
أتركوا	ترك
أتروى	روى
أتريث	تريث
أتزلف	تزلف
أتزوج	زوج
أتساءل	تساءل
أتساع	تسعة
أتساقط	تساقط
أتسامح	سمح
أتسامى	تسامى
أتسبب	سبب
أتسرع	أسرع
أتسع	تسعة
أتسلح	تسلح
أتسلط	سلط
أتسلل	تسلل
أتسلم	تسلم
أتسلى	سال
أتسمع	سمع
أتسوق	ساقى
أتسول	تسول
أتشارك	تشارك
أتشاور	تشاور
أتشبث	تشبث
أتشتت	تشتت
أتشرد	شرد
أتشرف	أشرف
